age,annual_income,employment_length,credit_score,loan_amount,debt_to_income,utilization_rate,missed_payments_6m,loan_tenure_months,secured_loan,loan_purpose,region,unemployment_rate,inflation_rate,interest_rate,default_12m
25,120000.0,0.3,887.0,86963.0,0.912,0.753,2,48,secured,medical,central,7.14,6.27,11.78,0
55,120000.0,7.7,766.0,269003.0,1.8,0.718,3,36,secured,personal,south,5.68,6.1,17.22,0
50,125986.0,2.5,730.0,75541.0,0.436,0.351,1,48,unsecured,vehicle,north,7.79,5.9,11.15,0
40,226919.0,4.5,826.0,97090.0,0.681,0.733,1,12,secured,medical,east,8.93,4.11,10.15,0
40,120000.0,0.0,824.0,354104.0,1.8,0.545,2,60,unsecured,medical,north,8.96,5.62,16.6,0
59,120000.0,8.5,613.0,74133.0,0.778,0.445,5,24,unsecured,business,west,6.72,4.27,16.76,1
24,120000.0,1.5,672.0,139102.0,1.31,0.344,2,60,unsecured,home_improvement,north,5.31,4.32,16.42,0
52,120000.0,8.0,543.0,755304.0,1.8,0.939,3,36,unsecured,home_improvement,east,6.06,5.2,20.19,1
30,120000.0,1.0,728.0,316984.0,1.8,0.956,0,60,secured,business,south,5.7,5.94,15.71,0
25,120000.0,0.7,750.0,100794.0,0.802,0.657,0,48,unsecured,business,west,5.89,5.66,13.51,0
44,120000.0,3.4,611.0,112669.0,1.215,0.751,2,48,unsecured,personal,west,7.09,4.87,18.48,0
64,120000.0,10.8,794.0,145717.0,1.522,0.604,2,60,unsecured,personal,west,5.82,5.45,15.84,0
54,120000.0,8.4,632.0,381843.0,1.8,0.758,2,24,unsecured,education,central,4.8,6.94,20.15,0
55,120000.0,5.8,660.0,84875.0,0.933,0.323,2,72,unsecured,personal,central,5.67,4.75,14.16,0
53,120000.0,8.8,695.0,81600.0,0.954,0.944,0,60,secured,personal,south,8.58,3.53,14.53,0
56,120000.0,9.5,806.0,258766.0,1.8,0.755,3,60,secured,education,east,7.69,5.34,15.68,0
44,120000.0,5.3,622.0,54571.0,0.541,1.0,2,72,secured,business,central,5.55,4.36,12.46,0
26,120000.0,8.5,708.0,90021.0,0.957,0.642,2,24,secured,business,east,7.45,5.67,13.58,0
58,120000.0,8.8,744.0,153998.0,1.428,0.659,0,72,unsecured,vehicle,north,6.82,3.82,14.67,0
41,120000.0,4.2,729.0,159216.0,1.473,0.662,4,48,secured,vehicle,central,6.48,3.36,16.7,0
43,120000.0,4.2,731.0,67037.0,0.875,0.295,1,48,secured,business,west,6.44,4.66,11.21,1
37,120000.0,1.1,743.0,204829.0,1.8,0.409,0,36,unsecured,personal,south,8.43,6.43,17.04,0
29,120000.0,4.1,644.0,233269.0,1.8,0.824,4,24,unsecured,personal,north,5.74,4.84,20.52,0
62,120000.0,8.2,813.0,105808.0,1.031,0.699,0,24,unsecured,vehicle,west,7.04,6.17,12.96,0
56,120000.0,7.0,678.0,479017.0,1.8,0.934,2,12,unsecured,home_improvement,south,6.25,5.38,19.68,0
49,120000.0,5.4,668.0,202956.0,1.8,0.844,2,36,secured,medical,central,5.3,3.67,17.13,0
39,120000.0,1.5,787.0,84698.0,0.712,0.898,2,60,unsecured,vehicle,east,8.04,5.38,14.1,0
58,120000.0,4.0,639.0,466731.0,1.8,0.775,6,48,secured,business,north,8.34,6.63,19.66,1
45,120000.0,4.6,710.0,115825.0,1.244,0.612,1,12,unsecured,home_improvement,north,6.91,5.69,16.28,0
40,120000.0,7.4,632.0,182822.0,1.8,0.82,5,60,secured,education,north,7.89,6.56,18.84,1
41,120000.0,5.6,875.0,118610.0,0.954,0.785,1,48,secured,vehicle,east,6.21,5.55,10.67,0
31,135165.0,7.2,873.0,244189.0,1.8,1.0,6,36,secured,medical,east,7.71,6.64,18.67,1
25,120000.0,3.3,678.0,119015.0,1.355,0.48,0,36,unsecured,vehicle,west,6.77,5.68,14.71,0
45,120000.0,7.6,725.0,123803.0,1.082,0.359,0,12,secured,vehicle,west,5.93,3.78,12.39,0
60,120000.0,15.4,686.0,146681.0,1.414,0.401,2,36,secured,personal,central,6.65,4.44,15.88,0
23,120000.0,0.2,660.0,117446.0,1.22,0.834,3,36,unsecured,education,east,6.8,6.5,18.26,1
59,120000.0,9.7,695.0,326661.0,1.8,0.608,4,48,unsecured,personal,west,7.38,4.69,19.51,0
58,120000.0,9.2,683.0,71857.0,0.711,0.667,2,60,secured,home_improvement,north,3.94,5.41,13.79,0
33,122928.0,7.6,575.0,158872.0,1.269,0.469,0,36,unsecured,education,west,6.31,5.74,16.34,1
49,120000.0,7.0,706.0,172500.0,1.598,0.973,2,48,secured,home_improvement,east,8.26,5.24,16.1,0
28,120000.0,0.0,683.0,150090.0,1.336,0.825,2,72,unsecured,home_improvement,west,6.68,4.96,18.77,1
55,120000.0,10.3,709.0,305405.0,1.8,0.823,4,48,unsecured,vehicle,south,5.27,5.85,19.53,1
52,120000.0,5.3,680.0,61233.0,0.766,0.741,1,24,secured,home_improvement,south,8.02,5.32,13.13,0
36,222153.0,5.4,751.0,235425.0,1.406,0.588,1,72,unsecured,business,south,7.51,6.25,15.96,0
24,120000.0,2.0,752.0,72459.0,1.064,0.941,2,36,secured,medical,central,5.86,4.3,13.39,0
64,120000.0,10.2,726.0,116926.0,1.179,0.74,2,36,secured,personal,north,5.19,4.87,15.23,1
41,120000.0,6.7,791.0,67779.0,0.707,0.868,1,60,unsecured,business,west,7.66,7.11,13.24,0
61,120000.0,5.5,723.0,131156.0,1.228,0.414,2,36,secured,education,central,6.36,7.06,14.71,0
51,120000.0,8.0,671.0,111766.0,0.996,0.49,2,60,secured,personal,south,3.5,5.3,13.18,0
56,120000.0,7.4,732.0,472067.0,1.8,0.591,3,48,unsecured,business,west,5.35,4.31,18.15,0
55,120000.0,17.1,538.0,190401.0,1.707,0.606,1,60,secured,personal,east,6.35,6.49,17.9,1
29,120000.0,2.5,844.0,216612.0,1.8,0.437,5,36,secured,business,north,8.96,7.72,17.52,1
37,123037.0,2.2,709.0,79231.0,0.712,0.726,0,72,secured,vehicle,east,7.66,3.97,12.29,0
42,125134.0,1.1,855.0,263300.0,1.8,0.562,2,36,unsecured,vehicle,east,4.93,6.33,15.62,0
43,120000.0,9.4,621.0,472053.0,1.8,0.737,4,36,unsecured,medical,north,5.94,5.95,21.32,1
