column,dtype,non_null,missing,missing_pct,unique_values
person_age,int64,32574,0,0.0,56
person_income,int64,32574,0,0.0,4294
person_home_ownership,str,32574,0,0.0,4
person_emp_length,float64,31679,895,2.75,35
loan_intent,str,32574,0,0.0,6
loan_grade,str,32574,0,0.0,7
loan_amnt,int64,32574,0,0.0,753
loan_int_rate,float64,29459,3115,9.56,348
loan_status,int64,32574,0,0.0,2
loan_percent_income,float64,32574,0,0.0,77
cb_person_default_on_file,str,32574,0,0.0,2
cb_person_cred_hist_length,int64,32574,0,0.0,29
